Gene	Score	p-value	q-value	is_cancer_related(<=threshold)
PCM1	0.83406484	0.0	0.0	1
BRWD1	0.8338506	0.0	0.0	1
SAP130	0.8338138	0.0	0.0	1
BCOR	0.8336797	0.0	0.0	1
SRCAP	0.83315885	0.0	0.0	1
WDR82	0.83313924	0.0	0.0	1
CHD8	0.832865	0.0	0.0	1
SMARCD3	0.8327633	0.0	0.0	1
SMYD2	0.83219296	0.0	0.0	1
CARM1	0.8316481	0.0	0.0	1
USP44	0.8316149	0.0	0.0	1
YAF2	0.8304647	0.0	0.0	1
MTA3	0.829823	0.0	0.0	1
ZNF592	0.82925946	0.0	0.0	1
RNF168	0.82919383	0.0	0.0	1
INTS12	0.8289975	0.0	0.0	1
PPP4R3A	0.82884586	0.0	0.0	1
PPP2CA	0.82843906	0.0	0.0	1
DNMT1	0.82796043	0.0	0.0	1
DDB1	0.8278965	0.0	0.0	1
EYA3	0.8277567	0.0	0.0	1
SS18L1	0.8276998	0.0	0.0	1
FOXP4	0.82594323	0.0	0.0	1
DPF3	0.8256902	0.0	0.0	1
PHF12	0.82556546	0.0	0.0	1
SETD7	0.8250423	0.0	0.0	1
PWWP2A	0.8247774	0.0	0.0	1
ADNP	0.8245612	0.0	0.0	1
SLF1	0.8241455	0.0	0.0	1
KANSL3	0.82357824	0.0	0.0	1
MBTD1	0.82349026	0.0	0.0	1
PHC2	0.82328707	0.0	0.0	1
KMT2A	0.82270163	0.0	0.0	1
PHF20	0.8226898	0.0	0.0	1
SPOP	0.8226679	0.0	0.0	1
HIRA	0.8223355	0.0	0.0	1
UBR2	0.82232356	0.0	0.0	1
BAZ1A	0.8221914	0.0	0.0	1
PRKAG2	0.82209635	0.0	0.0	1
UCHL5	0.8216833	0.0	0.0	1
PPM1G	0.8210584	0.0	0.0	1
ATN1	0.8208714	0.0	0.0	1
MECP2	0.8207235	0.0	0.0	1
USP3	0.8206599	0.0	0.0	1
DOT1L	0.8204281	0.0	0.0	1
AKAP1	0.8203341	0.0	0.0	1
UBN1	0.8199256	0.0	0.0	1
USP22	0.8193759	0.0	0.0	1
PRKAA1	0.81924385	0.0	0.0	1
YWHAB	0.81906563	0.0	0.0	1
TP53BP1	0.8187367	0.0	0.0	1
TOP2A	0.81862265	0.0	0.0	1
MSL2	0.8177499	0.0	0.0	1
FOXO1	0.8162326	0.0	0.0	1
KDM2B	0.8153317	0.0	0.0	1
REST	0.81421286	0.0	0.0	1
RLIM	0.8140396	0.0	0.0	1
NCOA2	0.813707	0.0	0.0	1
SIN3A	0.8124002	0.0	0.0	1
PRDM10	0.8118787	0.0	0.0	1
UHRF1	0.8116305	0.0	0.0	1
SYNCRIP	0.8115263	0.0	0.0	1
MTF2	0.81149423	0.0	0.0	1
HMG20A	0.81091964	0.0	0.0	1
WSB2	0.8104304	0.0	0.0	1
ZBTB16	0.8099092	0.0	0.0	1
PRDM4	0.80975544	0.0	0.0	1
PEX2	0.80925065	0.0	0.0	1
TTK	0.80914474	0.0	0.0	1
EED	0.809068	0.0	0.0	1
PSIP1	0.8090103	0.0	0.0	1
EP400	0.8082462	0.0	0.0	1
DIDO1	0.8082059	0.0	0.0	1
SP100	0.8079623	0.0	0.0	1
NASP	0.80746216	0.0	0.0	1
G2E3	0.8073297	0.0	0.0	1
SETD1B	0.80703825	0.0	0.0	1
YY1	0.8065558	0.0	0.0	1
AURKB	0.80633646	0.0	0.0	1
CBX1	0.80632603	0.0	0.0	1
RPS6KA3	0.8060847	0.0	0.0	1
AURKA	0.8060348	0.0	0.0	1
SRSF3	0.8057809	0.0	0.0	1
DPY30	0.80562705	0.0	0.0	1
CHD3	0.8055107	0.0	0.0	1
MBD2	0.80491066	0.0	0.0	1
CSNK2A1	0.80476546	0.0	0.0	1
SIRT1	0.80433697	0.0	0.0	1
DNMT3B	0.80377305	0.0	0.0	1
SF3B3	0.8035302	0.0	0.0	1
MORF4L1	0.80335414	0.0	0.0	1
BAHD1	0.8028657	0.0	0.0	1
MYO1C	0.8025899	0.0	0.0	1
MED1	0.80241704	0.0	0.0	1
GTF2I	0.80217355	0.0	0.0	1
CHEK1	0.801755	0.0	0.0	1
PELP1	0.801122	0.0	0.0	1
MLLT1	0.8008734	0.0	0.0	1
CHAF1A	0.8003578	0.0	0.0	1
TEX10	0.80000985	0.0	0.0	1
EP300	0.8000098	0.0	0.0	1
SMARCB1	0.7997489	0.0	0.0	1
CHD9	0.79974174	0.0	0.0	1
BAZ1B	0.79940456	0.0	0.0	1
E2F6	0.79924333	0.0	0.0	1
UBE2N	0.7989438	0.0	0.0	1
SMARCA4	0.79874116	0.0	0.0	1
SMARCE1	0.7986692	0.0	0.0	1
BPTF	0.79828507	1.948121523820656e-06	5.707654289088589e-06	1
BRD7	0.7979856	7.792486095282623e-06	2.2697881010096477e-05	1
TP53	0.79726374	9.74060761910328e-06	2.5025868806003813e-05	1
CDK1	0.79723555	9.74060761910328e-06	2.5025868806003813e-05	1
SUPT16H	0.7972342	9.74060761910328e-06	2.5025868806003813e-05	1
KDM6B	0.7971166	9.74060761910328e-06	2.5025868806003813e-05	1
UBE2E1	0.79681456	9.74060761910328e-06	2.5025868806003813e-05	1
SAFB	0.796698	9.74060761910328e-06	2.5025868806003813e-05	1
CDK17	0.79584265	9.74060761910328e-06	2.5025868806003813e-05	1
PKM	0.79545397	9.74060761910328e-06	2.5025868806003813e-05	1
NCOR1	0.7952668	9.74060761910328e-06	2.5025868806003813e-05	1
CUL1	0.79403454	9.74060761910328e-06	2.5025868806003813e-05	1
VRK1	0.7928456	9.74060761910328e-06	2.5025868806003813e-05	1
ERCC6	0.79231185	9.74060761910328e-06	2.5025868806003813e-05	1
NIPBL	0.7920276	9.74060761910328e-06	2.5025868806003813e-05	1
EMSY	0.7917377	9.74060761910328e-06	2.5025868806003813e-05	1
RBX1	0.79099107	9.74060761910328e-06	2.5025868806003813e-05	1
PCGF2	0.7908057	9.74060761910328e-06	2.5025868806003813e-05	1
SIN3B	0.79078555	9.74060761910328e-06	2.5025868806003813e-05	1
YWHAE	0.79072636	9.74060761910328e-06	2.5025868806003813e-05	1
PRKAB2	0.7903591	9.74060761910328e-06	2.5025868806003813e-05	1
RCC1	0.7903021	9.74060761910328e-06	2.5025868806003813e-05	1
ZNF516	0.7899675	9.74060761910328e-06	2.5025868806003813e-05	1
PBK	0.7897255	9.74060761910328e-06	2.5025868806003813e-05	1
NFYB	0.7895807	9.74060761910328e-06	2.5025868806003813e-05	1
TAF2	0.78889954	1.1688729142923936e-05	2.928026650302446e-05	1
KEAP1	0.78812146	1.1688729142923936e-05	2.928026650302446e-05	1
TAF5L	0.78770894	1.1688729142923936e-05	2.928026650302446e-05	1
PHIP	0.7867937	1.1688729142923936e-05	2.928026650302446e-05	1
SMARCC1	0.7851799	1.1688729142923936e-05	2.928026650302446e-05	1
TFDP1	0.7849777	1.3636850666744591e-05	3.268929274659828e-05	1
USP7	0.78469545	1.3636850666744591e-05	3.268929274659828e-05	1
GLYR1	0.78465825	1.3636850666744591e-05	3.268929274659828e-05	1
USP12	0.7846144	1.3636850666744591e-05	3.268929274659828e-05	1
SETDB2	0.78447413	1.3636850666744591e-05	3.268929274659828e-05	1
MYSM1	0.78442603	1.3636850666744591e-05	3.268929274659828e-05	1
KMT2D	0.78435344	1.3636850666744591e-05	3.268929274659828e-05	1
SMARCC2	0.7833984	1.3636850666744591e-05	3.268929274659828e-05	1
ANP32E	0.78301483	1.3636850666744591e-05	3.268929274659828e-05	1
RBBP4	0.7829248	1.5584972190565246e-05	3.7181290797491374e-05	1
CTBP1	0.7825451	1.7533093714385905e-05	4.047963111017207e-05	1
ANP32A	0.782464	1.7533093714385905e-05	4.047963111017207e-05	1
EPC1	0.78220403	1.7533093714385905e-05	4.047963111017207e-05	1
ARID4B	0.7814791	1.7533093714385905e-05	4.047963111017207e-05	1
DDX50	0.7811384	1.7533093714385905e-05	4.047963111017207e-05	1
PAXIP1	0.7807868	1.7533093714385905e-05	4.047963111017207e-05	1
ATF7IP	0.78060853	1.7533093714385905e-05	4.047963111017207e-05	1
DAPK3	0.77870643	2.142933676202721e-05	4.924815466869556e-05	1
PRKCD	0.7776677	2.3377458285847876e-05	5.323684818731721e-05	1
MTA1	0.7771029	2.3377458285847876e-05	5.323684818731721e-05	1
TRIM27	0.7761996	2.7273701333489183e-05	5.8644310592609794e-05	1
RB1	0.7749057	2.7273701333489183e-05	5.8644310592609794e-05	1
ZMYM2	0.77459675	2.7273701333489183e-05	5.8644310592609794e-05	1
TDRD3	0.7739889	2.7273701333489183e-05	5.8644310592609794e-05	1
IRF4	0.77390236	2.7273701333489183e-05	5.8644310592609794e-05	1
INO80C	0.7735376	2.7273701333489183e-05	5.8644310592609794e-05	1
RIOX2	0.7734583	2.7273701333489183e-05	5.8644310592609794e-05	1
KAT6B	0.7732702	2.7273701333489183e-05	5.8644310592609794e-05	1
JMJD1C	0.7729553	2.7273701333489183e-05	5.8644310592609794e-05	1
DSCAM	0.7727929	2.7273701333489183e-05	5.8644310592609794e-05	1
HCFC2	0.7725336	2.7273701333489183e-05	5.8644310592609794e-05	1
CTCF	0.7724446	2.7273701333489183e-05	5.8644310592609794e-05	1
RBBP7	0.7721647	2.7273701333489183e-05	5.8644310592609794e-05	1
EYA2	0.7712489	3.506618742877181e-05	7.444135551616389e-05	1
MGA	0.7708954	3.506618742877181e-05	7.444135551616389e-05	1
PWWP3A	0.7706587	3.506618742877181e-05	7.444135551616389e-05	1
ARID4A	0.7692022	3.896243047641312e-05	8.167438355097477e-05	1
DNAJC2	0.7682936	3.896243047641312e-05	8.167438355097477e-05	1
SATB1	0.76829356	3.896243047641312e-05	8.167438355097477e-05	1
GFI1B	0.7674983	4.285867352405443e-05	8.836294417922332e-05	1
PRKCA	0.7668906	4.285867352405443e-05	8.836294417922332e-05	1
TRRAP	0.7664312	4.285867352405443e-05	8.836294417922332e-05	1
CSNK2A2	0.7661084	4.285867352405443e-05	8.836294417922332e-05	1
RCOR1	0.7642168	4.675491657169575e-05	9.600087378040807e-05	1
PHF8	0.7638826	4.87030380955164e-05	9.959274320756619e-05	1
TLK1	0.7630269	5.0651159619337055e-05	0.00010150492387715145	1
MAGI1	0.7625444	5.0651159619337055e-05	0.00010150492387715145	1
CIR1	0.76156723	5.0651159619337055e-05	0.00010150492387715145	1
ING1	0.7611835	5.0651159619337055e-05	0.00010150492387715145	1
WAC	0.7610215	5.0651159619337055e-05	0.00010150492387715145	1
PKN1	0.7594497	5.844364571461968e-05	0.00011665444821922096	1
CDYL	0.75925124	6.233988876226099e-05	0.00012393763599163792	1
SUDS3	0.758928	6.428801028608164e-05	0.00012730550653488893	1
MSL1	0.75729334	6.818425333372296e-05	0.00013448941307163466	1
ORC1	0.75638676	7.402861790518492e-05	0.00014544446106077506	1
RSF1	0.7556473	7.98729824766469e-05	0.00015631392273750036	1
KDM2A	0.75540674	8.182110400046755e-05	0.00015950339729274026	1
NAA60	0.75514805	8.37692255242882e-05	0.00016266814723902475	1
MOV10	0.7542199	8.571734704810886e-05	0.00016517073411962514	1
HLTF	0.75419503	8.571734704810886e-05	0.00016517073411962514	1
KDM4B	0.7529831	9.156171161957085e-05	0.00017375915727804923	1
USP15	0.7526919	9.156171161957085e-05	0.00017375915727804923	1
ARID1A	0.75213414	9.156171161957085e-05	0.00017375915727804923	1
GATAD2A	0.75158036	9.156171161957085e-05	0.00017375915727804923	1
GSE1	0.751029	9.350983314339148e-05	0.00017612190377759072	1
HELLS	0.75072634	9.350983314339148e-05	0.00017612190377759072	1
FBL	0.7494599	9.545795466721214e-05	0.0001791177351620722	1
IKZF3	0.74861974	9.74060761910328e-05	0.00018141429060114286	1
SPEN	0.74807394	9.74060761910328e-05	0.00018141429060114286	1
ATM	0.74737203	0.0001013023192386	0.00018727845733778082	1
MBD3	0.74716663	0.0001013023192386	0.00018727845733778082	1
TCF20	0.7441599	0.0001285760205721	0.00023682568495081652	1
TET3	0.74350625	0.0001305241420959	0.00023953331571445382	1
RUVBL2	0.74065953	0.000151953478858	0.00027784194491918974	1
SENP1	0.74027944	0.0001539016003818	0.0002803807337864793	1
MLLT10	0.74016094	0.0001558497219056	0.00028187982193034514	1
RAG1	0.7400755	0.0001558497219056	0.00028187982193034514	1
ARID2	0.7395656	0.0001597459649532	0.0002878875123796878	1
USP11	0.73840415	0.0001909159093344	0.0003416031092019086	1
TLE2	0.7383244	0.0001909159093344	0.0003416031092019086	1
NSL1	0.73818886	0.000194812152382	0.00034733412221844124	1
AEBP2	0.7369474	0.000216241489144	0.00038417370943668087	1
UBE2D1	0.7356856	0.0005259928114315	0.0009311745530995812	1
MPHOSPH8	0.73329145	0.0066508868823237	0.011620092295700775	1
EAF1	0.73314804	0.0066508868823237	0.011620092295700775	1
HR	0.73030305	0.0067034861634668	0.011620092295700775	1
SFPQ	0.7296037	0.0067151748926098	0.011620092295700775	1
PRMT8	0.7273097	0.0067619298091814	0.011620092295700775	1
MORC2	0.7271498	0.0067658260522291	0.011620092295700775	1
ATXN7	0.7251286	0.0068008922396579	0.011620092295700775	1
HDGFL2	0.7245159	0.0068203734548961	0.011620092295700775	1
BRCA1	0.72329015	0.0068476471562296	0.011620092295700775	1
PCGF3	0.7223909	0.0068632321284201	0.011620092295700775	1
HDAC4	0.72211945	0.0068710246145154	0.011620092295700775	1
RBBP5	0.72163904	0.0068827133436583	0.011620092295700775	1
BRCA2	0.7213989	0.0068827133436583	0.011620092295700775	1
RCOR3	0.72115725	0.0068885577082298	0.011620092295700775	1
SENP3	0.71987706	0.0069372607463253	0.011653740621469472	1
TBL1XR1	0.71863824	0.0069586900830873	0.011653740621469472	1
RARA	0.7178784	0.0069918081489923	0.011653740621469472	1
TAF12	0.7175304	0.0070015487566114	0.011653740621469472	1
FBXL19	0.7167544	0.0070366149440402	0.011660568178322048	1
CREBBP	0.71617836	0.0070521999162307	0.011660568178322048	1
DDX21	0.7156587	0.0070755773745166	0.01166073771260795	1
YEATS4	0.7148173	0.0071086954404215	0.011676906280823515	1
BRD4	0.7123615	0.0072099977596602	0.011791586151978017	1
BCORL1	0.7119043	0.0072255827318508	0.011791586151978017	1
FOXP1	0.7106509	0.0072723376484225	0.011809081842832928	1
RBM15	0.70982546	0.0072996113497559	0.011809081842832928	1
CTBP2	0.7095967	0.0073113000788989	0.011809081842832928	1
DPF1	0.70889163	0.0073502625093753	0.011809081842832928	1
WDR11	0.7088325	0.0073541587524229	0.011809081842832928	1
PRDM11	0.7057486	0.0079093733867118	0.012660051331446045	1
NEK9	0.7052069	0.0138998470724603	0.02217778147548602	1
RPS6KA5	0.7049785	0.013958290718175	0.022200329047002143	1
PRMT1	0.70495725	0.0142212871238907	0.022547040661611523	1
MLLT6	0.7048121	0.0205409933471649	0.03246384122059816	1
MBD1	0.70462316	0.0264983489670085	0.04159252763504151	1
NCOR2	0.7039821	0.0265509482481517	0.04159252763504151	1
ZMYND8	0.70334107	0.0266483543243427	0.04159252763504151	1
PAGR1	0.7028993	0.0267048498485335	0.04159252763504151	1
CDC6	0.70274466	0.026732123549867	0.04159252763504151	1
KANSL1	0.70147073	0.0268879732717726	0.04170549414600022	1
ABRAXAS2	0.70134676	0.027145125312917	0.0419744067338624	1
ZMYM3	0.7007643	0.0332661231407615	0.0512810082877585	1
SMNDC1	0.7007215	0.033521327060382	0.05151590447009627	1
CTCFL	0.6986192	0.0397747971518463	0.060810114456891	1
UBE2T	0.6984756	0.0398118114607989	0.060810114456891	1
NCL	0.6982018	0.0403553373659448	0.06145296054814087	1
SFMBT2	0.6961997	0.0464023065758842	0.07044713816520601	1
KAT14	0.6958474	0.0467451759640766	0.07075327238067183	1
MYBBP1A	0.6957622	0.0530882596456366	0.0801121026580239	1
CHD2	0.69570714	0.0589930159843371	0.08851761519312139	1
ASXL1	0.69536275	0.0590358746578611	0.08851761519312139	1
KMT2B	0.6936499	0.0593203004003389	0.08851761519312139	1
SETD1A	0.6933486	0.0593651071953868	0.08851761519312139	1
PET117	0.69296247	0.0597079765835792	0.08876467735422308	1
PCGF6	0.69282496	0.0659653429180912	0.09777703195847245	1
VDR	0.6919087	0.0721214069333645	0.10637635645123301	0
ARNTL	0.6913368	0.072191539308222	0.10637635645123301	0
SUZ12	0.69055057	0.0726240222865102	0.10669980986962349	0
PRDM15	0.68992263	0.0787099539269259	0.11422688938087396	0
MYO1E	0.68957543	0.0787800863017835	0.11422688938087396	0
ACTB	0.6888553	0.0788599592842601	0.11422688938087396	0
MBD4	0.6887438	0.078871648013403	0.11422688938087396	0
NFRKB	0.6885952	0.0788872329855936	0.11422688938087396	0
SMARCD2	0.6867941	0.079393744581787	0.1146290087477674	0
SIRT3	0.68587226	0.0859725509677293	0.12377082768629993	0
SIRT7	0.6857383	0.0923078421631941	0.13251068459530155	0
DHDDS	0.6833103	0.0986256002649445	0.14117550209353485	0
TFPT	0.6831745	0.0990191208127563	0.1413349844079513	0
ZHX1	0.6821869	0.1053816857095545	0.1499892742627466	0
UBR7	0.68211037	0.1116059339781615	0.15839822357807057	0
SMARCD1	0.68159926	0.1179704469964836	0.16695817498654883	0
CBX4	0.6803048	0.1245239278026163	0.17573658543411483	0
FOXA1	0.68028134	0.1305923263493176	0.18378302107024752	0
PRKAG1	0.67716306	0.1315975570556091	0.18467892460745142	0
RAD51	0.6769769	0.1379503813447883	0.19305346663055567	0
DDB2	0.67642254	0.1439798174610132	0.20068640438457216	0
SRSF1	0.676324	0.1442057995577764	0.20068640438457216	0
PRMT7	0.674758	0.1505664163330508	0.20895782432924778	0
PRPF31	0.6732335	0.1511995558282925	0.2092568438397087	0
MBD6	0.67277807	0.1572309400660413	0.2168857982262031	0
ZNHIT1	0.6727226	0.1575777056972813	0.2168857982262031	0
HMX3	0.6727018	0.1638175389380789	0.22485640276158228	0
CECR2	0.6724568	0.1698976262139232	0.23252414363537152	0
SNRPB2	0.6723946	0.1703320573137352	0.23252414363537152	0
DPF2	0.66957456	0.1769985291682495	0.2409681062861223	0
APBB1	0.66647184	0.1835344768806678	0.24846660650594346	0
BMI1	0.66599995	0.1836124017416206	0.24846660650594346	0
RAG2	0.6655904	0.1839942335602895	0.24846660650594346	0
EXOSC2	0.66511846	0.1903470578494686	0.25635450532952625	0
PCNA	0.66422355	0.1964758481634084	0.2638991955224333	0
TAF5	0.6633325	0.1970349590407449	0.2639425520839925	0
VPS72	0.6633262	0.2032319336080184	0.2715178633003126	0
NOC2L	0.6630189	0.2095380029806259	0.27919824333322757	0
SGF29	0.66010976	0.2162843478176168	0.287422966197947	0
SETD6	0.659838	0.2228709466896545	0.29539244521565317	0
BRMS1L	0.65975404	0.2290542844062612	0.30278679812015	0
CHUK	0.65779394	0.2353993162093451	0.31035541426547864	0
A1CF	0.6567107	0.2360324557045868	0.31037338663516534	0
SLC25A15	0.65572125	0.2423989168444327	0.3179106213064419	0
BABAM1	0.6549153	0.2488725246680888	0.3255486549835835	0
ZNF687	0.6548252	0.2551630090685057	0.33290798839406605	0
DNTTIP2	0.65464437	0.2614359603752082	0.3402062757090372	0
JMJD6	0.6526574	0.2679972336674361	0.34784096908649087	0
CBX6	0.64872956	0.2748409845806181	0.3558018947671568	0
L3MBTL2	0.64658564	0.2816866836153239	0.3637243002352507	0
ELP6	0.64416134	0.2883570517128858	0.3713801617176241	0
WDR77	0.6435655	0.2947839046199701	0.3786839390118078	0
HINFP	0.64224476	0.3012789417803883	0.38603772335543357	0
TDRD1	0.6415259	0.307744757117949	0.39331664111248077	0
BRD9	0.64003026	0.3140742039488423	0.4000373060327341	0
KAT5	0.63973665	0.3146001967602739	0.4000373060327341	0
ZBTB7C	0.6391594	0.3207523645324995	0.40682768260957536	0
MRGBP	0.6381728	0.3272571423005367	0.414029869425679	0
SIRT5	0.63705283	0.3338963404537175	0.4213654069705604	0
HIF1AN	0.6358594	0.3404595618674693	0.42856844345628675	0
SUPT3H	0.63513356	0.346642899584076	0.43525837767323833	0
HLCS	0.634012	0.3535976934241158	0.44288111101370503	0
MORF4L2	0.63387156	0.3596466107555789	0.4493340448592146	0
HMGB1	0.6311499	0.3665156872485706	0.45677701321277075	0
CXXC4	0.63055855	0.3726581144131771	0.4625025858419978	0
INO80B	0.62976867	0.3729561770063216	0.4625025858419978	0
MCRS1	0.6277947	0.3798194091347418	0.4698506764851991	0
MPP7	0.626224	0.3863339275103981	0.47673226030224003	0
CHAF1B	0.62599134	0.3927179217439583	0.4834193582155359	0
ING4	0.62534285	0.398988924929137	0.4899349298762197	0
ING5	0.62397933	0.4058774826373669	0.4971751070936939	0
BABAM2	0.623069	0.4121231602427359	0.5035943982478309	0
HMGN1	0.6199125	0.4191539308222047	0.5109394631190378	0
CXXC1	0.6192188	0.4256314348889083	0.5175760895129686	0
HSPBAP1	0.6176244	0.4321440051430408	0.5242231151977323	0
CDKN3	0.61687565	0.4386293016958398	0.5308050245159801	0
ACTR8	0.6164241	0.4449723853773998	0.5371835302989815	0
CLNS1A	0.6164017	0.4512141667397212	0.5434093690783662	0
TRIM66	0.6162767	0.457777388153473	0.5499915382851079	0
CTR9	0.6160907	0.4636626632769352	0.554960048746743	0
SAP30	0.6154825	0.4641282643211283	0.554960048746743	0
KAT8	0.6151116	0.4704343336937358	0.5611609551918134	0
L3MBTL4	0.61321014	0.4770559987532022	0.567707970012718	0
DPEP1	0.61297965	0.4832490770774281	0.5734709784813398	0
NMI	0.61022836	0.4841880716519096	0.5734709784813398	0
TDRD9	0.60976917	0.4905584290348032	0.5796456909114066	0
ACTR3B	0.6093234	0.4970242443723639	0.5859038739542454	0
BRMS1	0.6070852	0.5037705892093549	0.592462594351847	0
MORC4	0.60657555	0.5101058804048196	0.598508304643594	0
SAP18	0.6064082	0.5164937708814276	0.6045873346065308	0
RPS6KA4	0.6055451	0.5229537418544169	0.6107222020257876	0
DDX56	0.60195875	0.5299747718262665	0.6174822341510686	0
SNAI2	0.60041475	0.5364035728548747	0.6235224825992859	0
PRMT5	0.6002464	0.5428148407897685	0.6295144334159122	0
ERBB4	0.59855354	0.5495904074496167	0.6359002173955149	0
CBX8	0.5955856	0.5563581816233697	0.642247578325595	0
PRKAB1	0.5952406	0.5624811275727379	0.6478230917561879	0
CDK9	0.5950338	0.5688339518619171	0.6536371786303221	0
EXOSC3	0.5928538	0.5756036741571939	0.6599026104182018	0
PAF1	0.59257483	0.5820928669530405	0.6658185532956011	0
EHMT2	0.5892636	0.5886463477591732	0.6717809116796032	0
SIRT6	0.5874722	0.5951647623778771	0.6776762407984465	0
MTA2	0.5849227	0.6017649981005815	0.6836377869578034	0
HMGN5	0.5820153	0.6083827669170003	0.6895922312792243	0
ASXL3	0.5798189	0.6149128702648471	0.6954206501189355	0
SCML4	0.57640857	0.6217293474766956	0.7015459528960011	0
DTX3L	0.5743669	0.6284503667338769	0.7075362555812861	0
TRIM28	0.5717985	0.6351694378695343	0.7134975075619656	0
KDM8	0.5716929	0.6415086253080468	0.7190063115868712	0
PRKAG3	0.5716411	0.6477172886044631	0.7243445571224018	0
ZBTB33	0.5714645	0.6540369948277374	0.7297829274135778	0
ATXN7L3	0.56970125	0.6606508674011085	0.7355246323732341	0
L3MBTL1	0.56864935	0.667369938536766	0.7413577366007089	0
CDK2	0.5679671	0.6737948433223264	0.7468389745674459	0
PRR14	0.5678301	0.6801028608164578	0.7521667401082679	0
RBP1	0.5678202	0.6863056797483027	0.757354946153964	0
INO80E	0.56720716	0.6927714950858634	0.762809931951687	0
DPEP3	0.56658673	0.6990775644584709	0.7680654820037147	0
SCG2	0.56326467	0.7061063869164158	0.7740903716523508	0
PARG	0.5608527	0.7128741610901688	0.7798033945549663	0
SIRT2	0.5598987	0.7192386741084908	0.785051363242601	0
RNF17	0.55865806	0.725873976018624	0.7905714390985449	0
MASTL	0.55481094	0.7324605748906616	0.796014637787899	0
GADD45B	0.5524939	0.7390627587348899	0.8014511734332898	0
NEK8	0.55210453	0.7454214273886405	0.8066007238049868	0
FOXP3	0.5501062	0.7519437382503921	0.8119047691022552	0
FOXP2	0.54728484	0.7586199507125254	0.8173518178644629	0
RIOX1	0.5471084	0.7649299163281805	0.8223817340781512	0
CDK3	0.5465556	0.7713411842630743	0.8274987865434695	0
PRMT6	0.5448052	0.778003759874541	0.832862999352874	0
ACTL6B	0.54368496	0.7844384052677206	0.8379608550940896	0
GADD45A	0.5403603	0.7909607161294722	0.8431304654912033	0
MEN1	0.5349801	0.7979914867089409	0.8488189699388098	0
ZFP57	0.5324135	0.8044553539249778	0.8538816362635887	0
MAZ	0.53154224	0.8108861030751098	0.8588878174220508	0
DIO1	0.5312185	0.8172876304023845	0.8638419890961913	0
GRIP1	0.52884185	0.8238547480591839	0.8689499553213709	0
CBX7	0.52698845	0.8304179694729357	0.874032358625926	0
ZCWPW1	0.52563584	0.8367571569114481	0.8788581459384393	0
EXOSC1	0.5224309	0.8434801242901532	0.8840659880112275	0
ZNF541	0.515708	0.8503219270818113	0.889376378847573	0
DND1	0.5138622	0.8567176100445145	0.894199005483962	0
SPP1	0.5101127	0.8633314826178857	0.8992288415624964	0
